task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,31,1,509,3.9584,1.0005,0.9995,0.9997,0.0296,241.123
TR01,travel,gemma3_4b,31,2,509,266.3577,1.1912,0.8395,0.849,0.271,160.6878
TR01,travel,gemma3_4b,31,3,509,286.6993,1.5798,0.633,0.6615,0.4135,95.1268
TR01,travel,gemma3_4b,31,4,509,254.026,1.1412,0.8763,0.8827,0.2362,168.4061
TR01,travel,gemma3_4b,31,5,509,303.1812,3.0615,0.3266,0.3971,0.3846,71.8656
TR01,travel,gemma3_4b,31,6,509,301.8432,1.265,0.7905,0.8008,0.2889,148.0045
TR01,travel,gemma3_4b,31,7,509,334.8474,1.7363,0.5759,0.6099,0.3954,94.733
TR01,travel,gemma3_4b,32,0,509,63.0153,1.0423,0.9595,0.9676,0.1305,194.124
TR01,travel,gemma3_4b,32,1,509,32.6343,1.0174,0.9829,0.9884,0.0722,194.1045
TR01,travel,gemma3_4b,32,2,509,396.1268,2.508,0.3987,0.4119,0.551,109.0436
TR01,travel,gemma3_4b,32,3,509,170.3126,1.1022,0.9073,0.9173,0.21,176.5366
TR01,travel,gemma3_4b,32,4,509,87.8836,1.0804,0.9256,0.936,0.1901,218.8914
TR01,travel,gemma3_4b,32,5,509,174.0303,1.0956,0.9127,0.925,0.2723,173.9185
TR01,travel,gemma3_4b,32,6,509,205.1468,1.1468,0.872,0.884,0.3067,164.673
TR01,travel,gemma3_4b,32,7,509,149.7125,1.1453,0.8731,0.8818,0.2309,207.6779
TR01,travel,gemma3_4b,33,0,509,161.7689,1.1266,0.8876,0.9155,0.211,137.6544
TR01,travel,gemma3_4b,33,1,509,23.5403,1.0119,0.9882,0.9945,0.0739,213.4257
TR01,travel,gemma3_4b,33,2,509,356.5092,1.7272,0.579,0.6056,0.5211,108.4237
TR01,travel,gemma3_4b,33,3,509,248.0007,1.1244,0.8894,0.9026,0.2386,170.8118
TR01,travel,gemma3_4b,33,4,509,218.3161,1.139,0.8779,0.8854,0.2358,182.7964
TR01,travel,gemma3_4b,33,5,509,344.522,2.5021,0.3997,0.4281,0.5395,64.7274
